experiment,game_id,white_strategy,black_strategy,result,winner,move_count,duration_s,error,started_at,finished_at
"opening-intelligence-endgame vs all","8b2a8755-5ca2-4c1e-9a66-feaa9d9aea63","opening-intelligence-endgame","greedy","WhiteWin","white",43,43,441,"",2026-04-11 23:29:44,2026-04-11 23:30:28
"opening-intelligence-endgame vs all","7e5328df-7371-4a64-af58-0051f05b86ba","opening-intelligence-endgame","greedy","WhiteWin","white",37,40,139,"",2026-04-11 23:30:28,2026-04-11 23:31:08
"opening-intelligence-endgame vs all","20de8060-692c-40c0-9884-869b19651744","opening-intelligence-endgame","greedy","WhiteWin","white",33,29,515,"",2026-04-11 23:31:08,2026-04-11 23:31:37
"opening-intelligence-endgame vs all","3084b88d-9bf5-4eaa-bcee-0c93f335fd72","opening-intelligence-endgame","greedy","WhiteWin","white",61,67,959,"",2026-04-11 23:31:37,2026-04-11 23:32:45
"opening-intelligence-endgame vs all","a536b282-5f0f-4ccf-a656-1d1d1463f404","opening-intelligence-endgame","greedy","WhiteWin","white",13,10,293,"",2026-04-11 23:32:45,2026-04-11 23:32:56
"opening-intelligence-endgame vs all","629ff3aa-cdea-4f7d-be15-30fd28aeb2f0","opening-intelligence-endgame","greedy","WhiteWin","white",37,34,370,"",2026-04-11 23:32:56,2026-04-11 23:33:30
"opening-intelligence-endgame vs all","5f11cccd-04ce-4346-bad4-ffaf6c2e7538","opening-intelligence-endgame","greedy","WhiteWin","white",43,45,166,"",2026-04-11 23:33:30,2026-04-11 23:34:15
"opening-intelligence-endgame vs all","cb422e48-6398-4141-8b20-03b1d86b3900","opening-intelligence-endgame","greedy","WhiteWin","white",43,45,102,"",2026-04-11 23:34:15,2026-04-11 23:35:00
"opening-intelligence-endgame vs all","be02a71a-9c43-40c3-abea-36c5b48e73de","opening-intelligence-endgame","greedy","WhiteWin","white",37,36,181,"",2026-04-11 23:35:00,2026-04-11 23:35:36
"opening-intelligence-endgame vs all","d477b6b8-5345-4d1b-9091-401ab864f1ce","opening-intelligence-endgame","greedy","WhiteWin","white",41,42,777,"",2026-04-11 23:35:36,2026-04-11 23:36:19
"opening-intelligence-endgame vs all","50fd93a6-9510-46dd-963e-a9bbf2578182","opening-intelligence-endgame","greedy","WhiteWin","white",17,16,954,"",2026-04-11 23:36:19,2026-04-11 23:36:36
